"Notes"	"Cause of death"	"Cause of death Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Head, face and neck - Malignant neoplasms"	"C76.0"	"55-64 years"	"55-64"	"Male"	"M"	356	11399263	3.1
	"Head, face and neck - Malignant neoplasms"	"C76.0"	"65-74 years"	"65-74"	"Female"	"F"	152	10125424	1.5
	"Head, face and neck - Malignant neoplasms"	"C76.0"	"65-74 years"	"65-74"	"Male"	"M"	357	8293485	4.3
	"Head, face and neck - Malignant neoplasms"	"C76.0"	"75-84 years"	"75-84"	"Female"	"F"	156	7411198	2.1
	"Head, face and neck - Malignant neoplasms"	"C76.0"	"75-84 years"	"75-84"	"Male"	"M"	280	4813716	5.8
	"Head, face and neck - Malignant neoplasms"	"C76.0"	"85+ years"	"85+"	"Female"	"F"	134	2960708	4.5
	"Head, face and neck - Malignant neoplasms"	"C76.0"	"85+ years"	"85+"	"Male"	"M"	101	1193310	8.5
	"Thorax - Malignant neoplasms"	"C76.1"	"65-74 years"	"65-74"	"Male"	"M"	13	8293485	0.2 (Unreliable)
	"Thorax - Malignant neoplasms"	"C76.1"	"75-84 years"	"75-84"	"Female"	"F"	12	7411198	0.2 (Unreliable)
	"Thorax - Malignant neoplasms"	"C76.1"	"75-84 years"	"75-84"	"Male"	"M"	19	4813716	0.4 (Unreliable)
	"Thorax - Malignant neoplasms"	"C76.1"	"85+ years"	"85+"	"Female"	"F"	12	2960708	0.4 (Unreliable)
	"Thorax - Malignant neoplasms"	"C76.1"	"85+ years"	"85+"	"Male"	"M"	16	1193310	1.3 (Unreliable)
	"Abdomen - Malignant neoplasms"	"C76.2"	"35-44 years"	"35-44"	"Female"	"F"	14	22669604	0.1 (Unreliable)
	"Abdomen - Malignant neoplasms"	"C76.2"	"45-54 years"	"45-54"	"Female"	"F"	27	18632305	0.1
	"Abdomen - Malignant neoplasms"	"C76.2"	"45-54 years"	"45-54"	"Male"	"M"	24	17945514	0.1
	"Abdomen - Malignant neoplasms"	"C76.2"	"55-64 years"	"55-64"	"Female"	"F"	63	12378763	0.5
	"Abdomen - Malignant neoplasms"	"C76.2"	"55-64 years"	"55-64"	"Male"	"M"	54	11399263	0.5
	"Abdomen - Malignant neoplasms"	"C76.2"	"65-74 years"	"65-74"	"Female"	"F"	133	10125424	1.3
	"Abdomen - Malignant neoplasms"	"C76.2"	"65-74 years"	"65-74"	"Male"	"M"	90	8293485	1.1
	"Abdomen - Malignant neoplasms"	"C76.2"	"75-84 years"	"75-84"	"Female"	"F"	230	7411198	3.1
	"Abdomen - Malignant neoplasms"	"C76.2"	"75-84 years"	"75-84"	"Male"	"M"	106	4813716	2.2
	"Abdomen - Malignant neoplasms"	"C76.2"	"85+ years"	"85+"	"Female"	"F"	246	2960708	8.3
	"Abdomen - Malignant neoplasms"	"C76.2"	"85+ years"	"85+"	"Male"	"M"	63	1193310	5.3
	"Pelvis - Malignant neoplasms"	"C76.3"	"55-64 years"	"55-64"	"Female"	"F"	22	12378763	0.2
	"Pelvis - Malignant neoplasms"	"C76.3"	"65-74 years"	"65-74"	"Female"	"F"	31	10125424	0.3
	"Pelvis - Malignant neoplasms"	"C76.3"	"65-74 years"	"65-74"	"Male"	"M"	11	8293485	0.1 (Unreliable)
	"Pelvis - Malignant neoplasms"	"C76.3"	"75-84 years"	"75-84"	"Female"	"F"	70	7411198	0.9
	"Pelvis - Malignant neoplasms"	"C76.3"	"75-84 years"	"75-84"	"Male"	"M"	24	4813716	0.5
	"Pelvis - Malignant neoplasms"	"C76.3"	"85+ years"	"85+"	"Female"	"F"	72	2960708	2.4
	"Lower limb - Malignant neoplasms"	"C76.5"	"85+ years"	"85+"	"Female"	"F"	14	2960708	0.5 (Unreliable)
	"Other ill-defined sites - Malignant neoplasms"	"C76.7"	"65-74 years"	"65-74"	"Male"	"M"	18	8293485	0.2 (Unreliable)
	"Other ill-defined sites - Malignant neoplasms"	"C76.7"	"75-84 years"	"75-84"	"Female"	"F"	21	7411198	0.3
	"Other ill-defined sites - Malignant neoplasms"	"C76.7"	"75-84 years"	"75-84"	"Male"	"M"	19	4813716	0.4 (Unreliable)
	"Other ill-defined sites - Malignant neoplasms"	"C76.7"	"85+ years"	"85+"	"Female"	"F"	15	2960708	0.5 (Unreliable)
	"Other ill-defined sites - Malignant neoplasms"	"C76.7"	"85+ years"	"85+"	"Male"	"M"	13	1193310	1.1 (Unreliable)
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"45-54 years"	"45-54"	"Female"	"F"	17	18632305	0.1 (Unreliable)
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"45-54 years"	"45-54"	"Male"	"M"	22	17945514	0.1
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"55-64 years"	"55-64"	"Female"	"F"	62	12378763	0.5
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"55-64 years"	"55-64"	"Male"	"M"	84	11399263	0.7
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"65-74 years"	"65-74"	"Female"	"F"	93	10125424	0.9
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"65-74 years"	"65-74"	"Male"	"M"	135	8293485	1.6
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"75-84 years"	"75-84"	"Female"	"F"	118	7411198	1.6
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"75-84 years"	"75-84"	"Male"	"M"	130	4813716	2.7
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"85+ years"	"85+"	"Female"	"F"	54	2960708	1.8
	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	"85+ years"	"85+"	"Male"	"M"	33	1193310	2.8
	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	"65-74 years"	"65-74"	"Female"	"F"	13	10125424	0.1 (Unreliable)
	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	"75-84 years"	"75-84"	"Female"	"F"	31	7411198	0.4
	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	"75-84 years"	"75-84"	"Male"	"M"	21	4813716	0.4
	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	"85+ years"	"85+"	"Female"	"F"	39	2960708	1.3
	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	"85+ years"	"85+"	"Male"	"M"	17	1193310	1.4 (Unreliable)
	"Secondary malignant neoplasm of large intestine and rectum - Malignant neoplasms"	"C78.5"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"45-54 years"	"45-54"	"Female"	"F"	12	18632305	0.1 (Unreliable)
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"45-54 years"	"45-54"	"Male"	"M"	11	17945514	0.1 (Unreliable)
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"55-64 years"	"55-64"	"Female"	"F"	33	12378763	0.3
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"55-64 years"	"55-64"	"Male"	"M"	17	11399263	0.1 (Unreliable)
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"65-74 years"	"65-74"	"Female"	"F"	57	10125424	0.6
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"65-74 years"	"65-74"	"Male"	"M"	23	8293485	0.3
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"75-84 years"	"75-84"	"Female"	"F"	81	7411198	1.1
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"75-84 years"	"75-84"	"Male"	"M"	24	4813716	0.5
	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	"85+ years"	"85+"	"Female"	"F"	33	2960708	1.1
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"35-44 years"	"35-44"	"Female"	"F"	21	22669604	0.1
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"35-44 years"	"35-44"	"Male"	"M"	32	22407073	0.1
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"45-54 years"	"45-54"	"Female"	"F"	59	18632305	0.3
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"45-54 years"	"45-54"	"Male"	"M"	118	17945514	0.7
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"55-64 years"	"55-64"	"Female"	"F"	123	12378763	1.0
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"55-64 years"	"55-64"	"Male"	"M"	205	11399263	1.8
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"65-74 years"	"65-74"	"Female"	"F"	310	10125424	3.1
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"65-74 years"	"65-74"	"Male"	"M"	374	8293485	4.5
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"75-84 years"	"75-84"	"Female"	"F"	488	7411198	6.6
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"75-84 years"	"75-84"	"Male"	"M"	400	4813716	8.3
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"85+ years"	"85+"	"Female"	"F"	344	2960708	11.6
	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	"85+ years"	"85+"	"Male"	"M"	181	1193310	15.2
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"45-54 years"	"45-54"	"Female"	"F"	11	18632305	0.1 (Unreliable)
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"45-54 years"	"45-54"	"Male"	"M"	27	17945514	0.2
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"55-64 years"	"55-64"	"Female"	"F"	29	12378763	0.2
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"55-64 years"	"55-64"	"Male"	"M"	42	11399263	0.4
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"65-74 years"	"65-74"	"Female"	"F"	24	10125424	0.2
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"65-74 years"	"65-74"	"Male"	"M"	60	8293485	0.7
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"75-84 years"	"75-84"	"Female"	"F"	30	7411198	0.4
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"75-84 years"	"75-84"	"Male"	"M"	58	4813716	1.2
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"85+ years"	"85+"	"Female"	"F"	11	2960708	0.4 (Unreliable)
	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	"85+ years"	"85+"	"Male"	"M"	15	1193310	1.3 (Unreliable)
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"35-44 years"	"35-44"	"Male"	"M"	19	22407073	0.1 (Unreliable)
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"45-54 years"	"45-54"	"Female"	"F"	38	18632305	0.2
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"45-54 years"	"45-54"	"Male"	"M"	32	17945514	0.2
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"55-64 years"	"55-64"	"Female"	"F"	53	12378763	0.4
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"55-64 years"	"55-64"	"Male"	"M"	76	11399263	0.7
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"65-74 years"	"65-74"	"Female"	"F"	104	10125424	1.0
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"65-74 years"	"65-74"	"Male"	"M"	112	8293485	1.4
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"75-84 years"	"75-84"	"Female"	"F"	146	7411198	2.0
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"75-84 years"	"75-84"	"Male"	"M"	105	4813716	2.2
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"85+ years"	"85+"	"Female"	"F"	80	2960708	2.7
	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	"85+ years"	"85+"	"Male"	"M"	40	1193310	3.4
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"35-44 years"	"35-44"	"Male"	"M"	10	22407073	0.0 (Unreliable)
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"45-54 years"	"45-54"	"Male"	"M"	15	17945514	0.1 (Unreliable)
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"55-64 years"	"55-64"	"Female"	"F"	21	12378763	0.2
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"55-64 years"	"55-64"	"Male"	"M"	37	11399263	0.3
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"65-74 years"	"65-74"	"Female"	"F"	53	10125424	0.5
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"65-74 years"	"65-74"	"Male"	"M"	65	8293485	0.8
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"75-84 years"	"75-84"	"Female"	"F"	97	7411198	1.3
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"75-84 years"	"75-84"	"Male"	"M"	81	4813716	1.7
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"85+ years"	"85+"	"Female"	"F"	61	2960708	2.1
	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	"85+ years"	"85+"	"Male"	"M"	37	1193310	3.1
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"35-44 years"	"35-44"	"Female"	"F"	19	22669604	0.1 (Unreliable)
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"35-44 years"	"35-44"	"Male"	"M"	21	22407073	0.1
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"45-54 years"	"45-54"	"Female"	"F"	31	18632305	0.2
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"45-54 years"	"45-54"	"Male"	"M"	77	17945514	0.4
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"55-64 years"	"55-64"	"Female"	"F"	71	12378763	0.6
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"55-64 years"	"55-64"	"Male"	"M"	148	11399263	1.3
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"65-74 years"	"65-74"	"Female"	"F"	122	10125424	1.2
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"65-74 years"	"65-74"	"Male"	"M"	162	8293485	2.0
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"75-84 years"	"75-84"	"Female"	"F"	148	7411198	2.0
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"75-84 years"	"75-84"	"Male"	"M"	123	4813716	2.6
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"85+ years"	"85+"	"Female"	"F"	130	2960708	4.4
	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	"85+ years"	"85+"	"Male"	"M"	57	1193310	4.8
	"Malignant neoplasm without specification of site"	"C80"	"10-14 years"	"10-14"	"Male"	"M"	10	10357700	0.1 (Unreliable)
	"Malignant neoplasm without specification of site"	"C80"	"15-19 years"	"15-19"	"Male"	"M"	10	10323033	0.1 (Unreliable)
	"Malignant neoplasm without specification of site"	"C80"	"20-24 years"	"20-24"	"Female"	"F"	18	9098615	0.2 (Unreliable)
	"Malignant neoplasm without specification of site"	"C80"	"20-24 years"	"20-24"	"Male"	"M"	33	9492814	0.3
	"Malignant neoplasm without specification of site"	"C80"	"25-34 years"	"25-34"	"Female"	"F"	75	19945090	0.4
	"Malignant neoplasm without specification of site"	"C80"	"25-34 years"	"25-34"	"Male"	"M"	116	20233316	0.6
	"Malignant neoplasm without specification of site"	"C80"	"35-44 years"	"35-44"	"Female"	"F"	440	22669604	1.9
	"Malignant neoplasm without specification of site"	"C80"	"35-44 years"	"35-44"	"Male"	"M"	414	22407073	1.8
	"Malignant neoplasm without specification of site"	"C80"	"45-54 years"	"45-54"	"Female"	"F"	1053	18632305	5.7
	"Malignant neoplasm without specification of site"	"C80"	"45-54 years"	"45-54"	"Male"	"M"	1235	17945514	6.9
	"Malignant neoplasm without specification of site"	"C80"	"55-64 years"	"55-64"	"Female"	"F"	1966	12378763	15.9
	"Malignant neoplasm without specification of site"	"C80"	"55-64 years"	"55-64"	"Male"	"M"	2481	11399263	21.8
	"Malignant neoplasm without specification of site"	"C80"	"65-74 years"	"65-74"	"Female"	"F"	3620	10125424	35.8
	"Malignant neoplasm without specification of site"	"C80"	"65-74 years"	"65-74"	"Male"	"M"	4210	8293485	50.8
	"Malignant neoplasm without specification of site"	"C80"	"75-84 years"	"75-84"	"Female"	"F"	4565	7411198	61.6
	"Malignant neoplasm without specification of site"	"C80"	"75-84 years"	"75-84"	"Male"	"M"	3977	4813716	82.6
	"Malignant neoplasm without specification of site"	"C80"	"85+ years"	"85+"	"Female"	"F"	2690	2960708	90.9
	"Malignant neoplasm without specification of site"	"C80"	"85+ years"	"85+"	"Male"	"M"	1522	1193310	127.5
	"Hodgkin disease, unspecified"	"C81.9"	"15-19 years"	"15-19"	"Female"	"F"	11	9761569	0.1 (Unreliable)
	"Hodgkin disease, unspecified"	"C81.9"	"15-19 years"	"15-19"	"Male"	"M"	20	10323033	0.2
	"Hodgkin disease, unspecified"	"C81.9"	"20-24 years"	"20-24"	"Female"	"F"	26	9098615	0.3
	"Hodgkin disease, unspecified"	"C81.9"	"20-24 years"	"20-24"	"Male"	"M"	35	9492814	0.4
	"Hodgkin disease, unspecified"	"C81.9"	"25-34 years"	"25-34"	"Female"	"F"	62	19945090	0.3
	"Hodgkin disease, unspecified"	"C81.9"	"25-34 years"	"25-34"	"Male"	"M"	86	20233316	0.4
	"Hodgkin disease, unspecified"	"C81.9"	"35-44 years"	"35-44"	"Female"	"F"	62	22669604	0.3
	"Hodgkin disease, unspecified"	"C81.9"	"35-44 years"	"35-44"	"Male"	"M"	102	22407073	0.5
	"Hodgkin disease, unspecified"	"C81.9"	"45-54 years"	"45-54"	"Female"	"F"	66	18632305	0.4
	"Hodgkin disease, unspecified"	"C81.9"	"45-54 years"	"45-54"	"Male"	"M"	97	17945514	0.5
	"Hodgkin disease, unspecified"	"C81.9"	"55-64 years"	"55-64"	"Female"	"F"	63	12378763	0.5
	"Hodgkin disease, unspecified"	"C81.9"	"55-64 years"	"55-64"	"Male"	"M"	114	11399263	1.0
	"Hodgkin disease, unspecified"	"C81.9"	"65-74 years"	"65-74"	"Female"	"F"	118	10125424	1.2
	"Hodgkin disease, unspecified"	"C81.9"	"65-74 years"	"65-74"	"Male"	"M"	159	8293485	1.9
	"Hodgkin disease, unspecified"	"C81.9"	"75-84 years"	"75-84"	"Female"	"F"	142	7411198	1.9
	"Hodgkin disease, unspecified"	"C81.9"	"75-84 years"	"75-84"	"Male"	"M"	118	4813716	2.5
	"Hodgkin disease, unspecified"	"C81.9"	"85+ years"	"85+"	"Female"	"F"	53	2960708	1.8
	"Hodgkin disease, unspecified"	"C81.9"	"85+ years"	"85+"	"Male"	"M"	43	1193310	3.6
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"45-54 years"	"45-54"	"Male"	"M"	10	17945514	0.1 (Unreliable)
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"55-64 years"	"55-64"	"Female"	"F"	10	12378763	0.1 (Unreliable)
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"55-64 years"	"55-64"	"Male"	"M"	11	11399263	0.1 (Unreliable)
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"65-74 years"	"65-74"	"Female"	"F"	17	10125424	0.2 (Unreliable)
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"65-74 years"	"65-74"	"Male"	"M"	19	8293485	0.2 (Unreliable)
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"75-84 years"	"75-84"	"Female"	"F"	17	7411198	0.2 (Unreliable)
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"75-84 years"	"75-84"	"Male"	"M"	11	4813716	0.2 (Unreliable)
	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	"85+ years"	"85+"	"Female"	"F"	11	2960708	0.4 (Unreliable)
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"55-64 years"	"55-64"	"Female"	"F"	13	12378763	0.1 (Unreliable)
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"55-64 years"	"55-64"	"Male"	"M"	24	11399263	0.2
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"65-74 years"	"65-74"	"Female"	"F"	34	10125424	0.3
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"65-74 years"	"65-74"	"Male"	"M"	47	8293485	0.6
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"75-84 years"	"75-84"	"Female"	"F"	44	7411198	0.6
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"75-84 years"	"75-84"	"Male"	"M"	57	4813716	1.2
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"85+ years"	"85+"	"Female"	"F"	28	2960708	0.9
	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	"85+ years"	"85+"	"Male"	"M"	21	1193310	1.8
	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	"45-54 years"	"45-54"	"Male"	"M"	10	17945514	0.1 (Unreliable)
	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	"55-64 years"	"55-64"	"Male"	"M"	19	11399263	0.2 (Unreliable)
	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	"65-74 years"	"65-74"	"Male"	"M"	31	8293485	0.4
	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	"75-84 years"	"75-84"	"Female"	"F"	10	7411198	0.1 (Unreliable)
	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	"75-84 years"	"75-84"	"Male"	"M"	19	4813716	0.4 (Unreliable)
	"Non-Hodgkin lymphoma mixed small and large cell (diffuse)"	"C83.2"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"Non-Hodgkin lymphoma mixed small and large cell (diffuse)"	"C83.2"	"75-84 years"	"75-84"	"Male"	"M"	12	4813716	0.2 (Unreliable)
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"35-44 years"	"35-44"	"Female"	"F"	17	22669604	0.1 (Unreliable)
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"35-44 years"	"35-44"	"Male"	"M"	37	22407073	0.2
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"45-54 years"	"45-54"	"Female"	"F"	41	18632305	0.2
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"45-54 years"	"45-54"	"Male"	"M"	71	17945514	0.4
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"55-64 years"	"55-64"	"Female"	"F"	89	12378763	0.7
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"55-64 years"	"55-64"	"Male"	"M"	112	11399263	1.0
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"65-74 years"	"65-74"	"Female"	"F"	178	10125424	1.8
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"65-74 years"	"65-74"	"Male"	"M"	225	8293485	2.7
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"75-84 years"	"75-84"	"Female"	"F"	308	7411198	4.2
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"75-84 years"	"75-84"	"Male"	"M"	237	4813716	4.9
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"85+ years"	"85+"	"Female"	"F"	137	2960708	4.6
	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	"85+ years"	"85+"	"Male"	"M"	76	1193310	6.4
	"Non-Hodgkin lymphoma immunoblastic (diffuse)"	"C83.4"	"55-64 years"	"55-64"	"Female"	"F"	10	12378763	0.1 (Unreliable)
	"Non-Hodgkin lymphoma immunoblastic (diffuse)"	"C83.4"	"55-64 years"	"55-64"	"Male"	"M"	10	11399263	0.1 (Unreliable)
	"Non-Hodgkin lymphoma immunoblastic (diffuse)"	"C83.4"	"65-74 years"	"65-74"	"Female"	"F"	12	10125424	0.1 (Unreliable)
	"Non-Hodgkin lymphoma immunoblastic (diffuse)"	"C83.4"	"65-74 years"	"65-74"	"Male"	"M"	14	8293485	0.2 (Unreliable)
	"Non-Hodgkin lymphoma immunoblastic (diffuse)"	"C83.4"	"75-84 years"	"75-84"	"Female"	"F"	15	7411198	0.2 (Unreliable)
	"Burkitt tumor"	"C83.7"	"15-19 years"	"15-19"	"Male"	"M"	10	10323033	0.1 (Unreliable)
	"Burkitt tumor"	"C83.7"	"35-44 years"	"35-44"	"Male"	"M"	17	22407073	0.1 (Unreliable)
	"Burkitt tumor"	"C83.7"	"45-54 years"	"45-54"	"Male"	"M"	28	17945514	0.2
	"Burkitt tumor"	"C83.7"	"55-64 years"	"55-64"	"Male"	"M"	12	11399263	0.1 (Unreliable)
	"Burkitt tumor"	"C83.7"	"65-74 years"	"65-74"	"Female"	"F"	15	10125424	0.1 (Unreliable)
	"Burkitt tumor"	"C83.7"	"65-74 years"	"65-74"	"Male"	"M"	14	8293485	0.2 (Unreliable)
	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	"45-54 years"	"45-54"	"Male"	"M"	16	17945514	0.1 (Unreliable)
	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	"55-64 years"	"55-64"	"Female"	"F"	15	12378763	0.1 (Unreliable)
	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	"55-64 years"	"55-64"	"Male"	"M"	35	11399263	0.3
	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	"65-74 years"	"65-74"	"Female"	"F"	31	10125424	0.3
	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	"65-74 years"	"65-74"	"Male"	"M"	56	8293485	0.7
	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	"75-84 years"	"75-84"	"Female"	"F"	30	7411198	0.4
	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	"75-84 years"	"75-84"	"Male"	"M"	53	4813716	1.1
